"CMS Certification Number (CCN)","Provider Name","Address Line 1",City/Town,State,"ZIP Code",County/Parish,"Telephone Number","CMS Region","Measure Code",Score,Footnote,"Start Date","End Date","Measure Date Range",LOCATION1
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_RS_RATE,58.15,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_RS_RATE_2_5,53.05,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_RS_RATE_97_5,62.86,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_005_02_DTC_VOLUME,316,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_006_01_MSPB_NUMB,312,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_006_01_MSPB_SCORE,0.99,-,10/01/2022,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_007_02_DENOMINATOR,225,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_007_02_NUMERATOR,225,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_007_02_OBS_RATE,100.00,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_013_02_DENOMINATOR,225,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_013_02_NUMERATOR,0,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_013_02_OBS_RATE,0.00,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_024_06_DENOMINATOR,135,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_024_06_NUMERATOR,65,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_024_06_OBS_RATE,48.15,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_025_06_DENOMINATOR,135,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_025_06_NUMERATOR,80,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_025_06_OBS_RATE,59.26,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_038_02_DENOMINATOR,225,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_038_02_NUMERATOR,2,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_038_02_OBS_RATE,0.89,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_038_02_ADJ_RATE,0.95,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_NUMBER,14,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_VOLUME,190,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_OBS_RATE,7.37,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_RS_RATE,7.35,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_RS_RATE_2_5,4.70,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_RS_RATE_97_5,10.47,-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_039_01_HAI_COMP_PERF,"No Different than the National Rate",-,10/01/2023,09/30/2024,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_040_02_DENOMINATOR,207,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_040_02_NUMERATOR,10,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_040_02_OBS_RATE,4.83,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_041_01_DENOMINATOR,259,-,10/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_041_01_NUMERATOR,249,-,10/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_041_01_OBS_RATE,96.14,-,10/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_042_02_DENOMINATOR,135,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_042_02_NUMERATOR,76,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_042_02_OBS_RATE,56.30,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_043_02_DENOMINATOR,73,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_043_02_NUMERATOR,73,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_043_02_OBS_RATE,100.00,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_044_02_DENOMINATOR,113,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_044_02_NUMERATOR,112,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_044_02_OBS_RATE,99.12,-,04/01/2024,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_045_01_DENOMINATOR,114,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_045_01_NUMERATOR,29,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315001,"MERWICK CARE & REHAB CENTER, LLC","100 PLAINSBORO ROAD",PLAINSBORO,NJ,08536,Middlesex,(609)759-6000,2,S_045_01_OBS_RATE,25.44,-,01/01/2025,03/31/2025,-,"100 PLAINSBORO ROAD, PLAINSBORO, NJ, 08536"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_COMP_PERF,"No Different than the National Rate",-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_OBS,10.21,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_OBS_READM,58,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_RSRR,9.77,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_RSRR_2_5,7.67,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_RSRR_97_5,12.35,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_004_01_PPR_PD_VOLUME,568,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_COMP_PERF,"Better than the National Rate",-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_NUMBER,354,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_OBS_RATE,55.49,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_RS_RATE,66.07,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_RS_RATE_2_5,61.46,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_RS_RATE_97_5,69.21,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_005_02_DTC_VOLUME,638,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_006_01_MSPB_NUMB,579,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_006_01_MSPB_SCORE,1.14,-,10/01/2022,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_007_02_DENOMINATOR,360,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_007_02_NUMERATOR,356,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_007_02_OBS_RATE,98.89,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_013_02_DENOMINATOR,360,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_013_02_NUMERATOR,2,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_013_02_OBS_RATE,0.56,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_024_06_DENOMINATOR,208,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_024_06_NUMERATOR,99,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_024_06_OBS_RATE,47.60,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_025_06_DENOMINATOR,208,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_025_06_NUMERATOR,138,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_025_06_OBS_RATE,66.35,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_038_02_DENOMINATOR,360,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_038_02_NUMERATOR,9,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_038_02_OBS_RATE,2.50,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_038_02_ADJ_RATE,2.45,-,04/01/2024,03/31/2025,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_NUMBER,28,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_VOLUME,340,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_OBS_RATE,8.24,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_RS_RATE,7.41,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_RS_RATE_2_5,4.95,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_RS_RATE_97_5,9.91,-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
315002,"CAREONE AT SOMERSET VALLEY","1621 ROUTE 22 WEST","BOUND BROOK",NJ,08805,Somerset,(732)469-2000,2,S_039_01_HAI_COMP_PERF,"No Different than the National Rate",-,10/01/2023,09/30/2024,-,"1621 ROUTE 22 WEST, BOUND BROOK, NJ, 08805"
